
1.1-📺央视,#genre#
CCTV1综合,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV1综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
CCTV1综合,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1综合,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8
CCTV1综合,http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV1综合,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV1综合,http://112.123.206.32:808/hls/1/index.m3u8
CCTV1综合,http://play.kankanlive.com/live/1661761962676984.m3u8
CCTV2财经,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8
CCTV2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2财经,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV2财经,http://116.9.204.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv2_1_ud.m3u8
CCTV2财经,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV2财经,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV2财经,http://36.105.100.208:35455/gaoma/cctv2.m3u8
CCTV2财经,http://112.123.206.32:808/hls/2/index.m3u8
CCTV2财经,http://60.29.124.66:6080/hls/13/index.m3u8
CCTV3综艺,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://183.237.95.108:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3综艺,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV3综艺,http://218.89.240.144:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8?b=200-1200
CCTV3综艺,http://116.9.204.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://110.7.131.79:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv3&ChannelID=cctv3&videoTVChannel=cctv3&P2PChannelID=pd://cctv_p2p_cctv3
CCTV3综艺,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8
CCTV3综艺,http://36.105.100.208:35455/gaoma/cctv3.m3u8
CCTV3综艺,http://58.17.48.228:808/hls/3/index.m3u8
CCTV3综艺,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8
CCTV4中文国际,http://113.57.111.4:1111/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://api2.52tb.xyz/info?id=5&token=20230120rdbtgv
CCTV4中文国际,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8
CCTV4中文国际,http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8
CCTV4中文国际,http://ldcctvcpudtxy.liveplay.myqcloud.com/ldcctvcpud/udrmldcctv5_1_ud.m3u8
CCTV4中文国际,http://112.99.193.34:9901/tsfile/live/1036_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
